Tip,Paylaþým
Negatif,aðzýna sýçarým 
Pozitif,hayirlisi olsun halkimiza duyrulur 
Pozitif,ayýna yakýþan tatlý bir klip insanýn sevesi geliyor 
Pozitif,güzelsin lanet olsun insan mýsýn 
Pozitif,iþlerim dolayýsýyla gündür londra dayým mutlaka bir beþiktaþ ürünüyle çýkýyorum dýþarý görenler come to beþiktaþ diyor 
Negatif,yine bir kavga sen benim oldugumu biliyor musun cumlesi gercekten merak uyandirdi kimdi keko 
Pozitif,bi tane erkeðe full makyaj yapmak istiyorum gönlü böyle prof makyaj olacak 
Pozitif,güzelsin be 
Negatif,bellem hala bekliyorum biliyor musun ckckckckc andaval xkckc 
Pozitif,iþte tarkovski ye göre edebiyatla sinema arasýndaki benzerlik farklar 
Pozitif,adana kültür 
Negatif,ben semtin serseri yazarýysam sende büyük kaþar günaydýn 
Pozitif,fikret ormanýn açýklamalarý gerçekten dürüstçe bizde beþiktaþýn baþarýlý olmasýný istiyoruz elbette 
Negatif,su calathes denen orospu cocugunu durdurun 
Negatif,beyaz gel beni evimden alda bütün konuklara adýný unutana kadar yumruk atayým 
Negatif,ilker boþ yapma amk bal dönüyor 
Pozitif,solmasýn gençliðin gamla kasvetle 
Negatif,anasýný bile satar dümbük 
Negatif,amk bitane deðilki al kemali vur güvene sabunluk zirzop 
Pozitif,dön gel dön gel 
Pozitif,tüba üstün baþarýlý genç bilim insaný ödülü sosyal bilimler alanýnda kýzým doç dr tuba durmuþ verildi gururluyuz 
Negatif,sikik sikik edebiyat yapýyorsunuz yapmayýn 
Negatif,atanamamýþ metin akpýnara bak konuþuyo bi dalyarak 
Pozitif,ulan yýllardýr müziðin sözlerini merak ediyordum þimdi öðrendim mutluyum 
Negatif,vay orospu çocuðu azizeye bam bam bam 
Negatif,kes lan zübük defol 
Pozitif,birlikte güzel çalýþmalara imza attýðýmýz deðeri bizde baki kalacak olan sayýn müdürümüz 
Pozitif,hayraný olduðunuz hayatýn tadýný çýkartýyorum inan ýn mutluyum 
Pozitif,sen zaman sen muhabbetle 
Pozitif,ders çalýþtýk yorulduk sýnava girdik yine yorulduk mülakat dönemi ayrý yorucu aþamada yorulduk yýprandýk 
Pozitif,banada geliyo þiþko olduðum kimsenin fikrinin ince gülü olamam 
Pozitif,od bida andaval deme uzuluyorum geceler 
Negatif,gerizeka bir orospu evladý olduðu 
Negatif,tarihimizin pahalý kadrolarýndan birisini böyle vasat beyinsiz bir hocayla tüketemeyiz igor tudor kýsa sürede kovulsun 
Negatif,soru öyle mi sorulur dalyarak 
Negatif,hayýrdýr la benimle uðraþmanýn sebebi nedir þeref yoksunu insan þükür senin dönek deðiliz dönek 
Pozitif,topluluk karþýsýnda baþarýlý bir konuþma yapmanýn sýrrý 
Pozitif,çikolata yiyemiom alerjim geçene kadar yasak 
Negatif,allah kökünüzü kurutsun þerefsiz þret sürüsü 
Negatif,hakkýnda iyi þeyler bildiðin insanýn tam bir pezevenk çýkmasý 
Negatif,beyinsiz hedef kitlesi bellio yuzden rahatherhangi bir seyi bilmek 
Negatif,aynen yavþak yine baþka kýza aþýk olmuþsun seviyormuþsun iki gün sonra arkasýndan orospu dediðini duyar gibiyim 
Pozitif,son hangi takýmda baþarýlý olmuþ bence konuþuyor konuþup icraat yapmasý lazým inþ baþarýr diyelim ümidim yok 
Negatif,bana tipi yorumlatiyosun curettle favladin sen tiviti amk keli keli 
Negatif,tudor gerizeka pýcý hemen takýmdan gonderýn hemenn serefýnýz varsa mk 
Negatif,bende umarýmgerizekali bide bize kýzýyor doðru söylediðimiz bize blok ettiama doðru 
Pozitif,samimiyete bakýn 
Negatif,hassiktir lan gebeþ 
Negatif,herkese ayný deðeri verebiliyon amk 
Pozitif,büyük güzel önemli deðerli seçim vaadini bunlar veriyor 
Pozitif,fikre saygý duyan destekleyen herkesi imzaya davet ediyorum desteklerinize ihtiyacýmýz var 
Pozitif,çocuktan al haberi programlar var paralý ailelerin format gereði herkesi güldürmek programladýðý çocuklar 
Negatif,iyy pis abaza 
Pozitif,benfica yla bir problemim yok problemim olan kiþiyi herkes biliyor kulübü seviyorum 
Negatif,sen hala buralarda mýsýn lan tirrek he kareþ nxsnsnns 
Pozitif,dostsuz dünya olmaz imiþ dost duasýz kalmaz imiþ dostun duasý 
Pozitif,ilahi adalet var 
Negatif,hay amk nerden selam verdik 
Negatif,desteklediðin barzo senin karakterin bozuk 
Pozitif,yediden yetmiþe öðrencisinden hocasýna koskoca bir ailenin sahipleniþi kenetleniþidir cerrahpaþaduruþu 
Pozitif,sýnavdan önce bira içmek ders çalýþýrken ezberlediðiniz þeyleri hatýrlamanýza yardýmcý olur 
Negatif,kafamdaki soru iþaretlerini çözemeden ölürsem emin olun gece rüyalarýnýza girip girip hayatýnýza sýçarým 
Negatif,vay þaþkoloz vayy 
Negatif,görmeyeli çirkinlesmiþsin orosbu evladi 
Negatif,aynen yavþak yine baþka kýza aþýk olmuþsun seviyormuþsun iki gün sonra arkasýndan orospu dediðini duyar gibiyim 
Pozitif,sn cumhurbaþkanýmýz genel baþkanýmýz grup konuþmasýna baþladý haftamýz hayýrlý olsun 
Negatif,domal bakiyim amina koydumun orospu seni yarragimi boyle amina kokune kadar sokup sokup cikartarak sikerim orospu ht 
Negatif,zehra gýbý olmak istiyorum tek ayak üstünde kýrk tane yalan söylüyor 
Negatif,sema sürekli dýþarda böyle deðil diyolar sayýn andaval yorumcular kimse oradaki deðil zaten 
Negatif,sen fýrlama bý kýzsýn tuba 
Pozitif,bilgisayar bulamayýnca hesabý kapatamadýk gitmeden seçim sürecinde burada olmayacaðýmýz kiþilere deðil özgürlük ilk 
Negatif,aay göüm sikik karý 
Negatif,mert kesinlikle ergenliðine yeniliyor ergen olduðu son sozü kendi söylemek istiyor ergenleri sahneden alalým aq yemekteyiz 
Negatif,fatih terim stadyumunda gerizeka tudor yüzünden maðlup olmak bir ironi örneðidir 
Pozitif,kucaðýmda yeðenim varken gördüðüm ilgiyi normalde görmüyorum kýzlardan kadar çocuk seviyorsunuz madem iþi yokuþa sürmeyin 
Negatif,sayfasýný býraz arastýrýnca gs sevdalýsý çýkýyor bunlar herkesi kendileri þerefiz sanarlar 
Pozitif,herkes oðlu okuldan gelince dk ana yemek cikariyor be hayýr saate kadar diziye mi daldiniz 
Pozitif,içimde öyle güzelsin onu kirletmeyeceðim seninle 
Negatif,bok vardý geliyon 
Negatif,insanlarý üzmeyin sýçarým þarap çanaðýnýza 
Pozitif,adalet duygunuzmantýðýnýz insanlara olan yakýnlýðýnýza göre deðiþiyorsa üzgünüm adil deðilsiniz 
Pozitif,ayý içinde yeni macbook modleri tanýtýlacak sýralar bir bilgisayar almayý düþünenler biraz beklesin derim 
Pozitif,bangtan baþarýlý gururlu hava sahasý mümkün 
Pozitif,kübra makyaj temizleme kremini el kremi olarak kullanmýþ manyak 
Negatif,adam kinaye yapabiliyor kinayeden anliyor almis tane andaval arkasina 
Negatif,lutfen artik su sosyal medyada olmadiginiz davranmayin cok embesil duruyosunuz 
Negatif,bi baþýmýza yarým akýllý karacahil zýrcahil bezirganlarý çýktý 
Negatif,babasýna süpriz yapan aþifte kýzý 
Negatif,sen dua et gerizeka tudora karþý puan vermesin bizim hamsi 
Negatif,kanka annenleyiz ateþini al demiþtin 
Negatif,günaydýn diyin lan köleler ezik itler 
Pozitif,halil sezai berduþ halil sezai dertliyim 
Negatif,beklersiniz piç eniði piçler 
Pozitif,iþten evime geldim duþ aldým þarap müzik eþliðinde kendime yemek yapýyorum 
Negatif,yatýrýr götünü sikerim hacý 
Pozitif,genelde kýrgýn olduðu kiþilerle muhatap olmaz 
Negatif,aptal oç rüyamda iþin var 
Negatif,aþaðýlýk yaratýk aðzýna geleni söyle sana söylenince duyar kas sahtekar dallama 
Pozitif,dün gece kitap okurken uyuyakalmýþým son kaldýðým yeri eþim iþaretlemiþ evlendiðimiz insana eþ denildiðini anlýyorum 
Pozitif,kitap fuarý öyle bir yerde olacak kimsenin gelebileceðini pek sanmýyorum þehrin dýþýna doðru yer yapmýþlar bunun heyecaný 
Negatif,dönme artýk istemem senin kahpe kalbini 
Pozitif,polemik yaratýp planlý programlý tartýþmalarý gündeme gelip spnra gururla bunu paylaþanlar ektedir 
Negatif,angut sana kemik atan oldu profil resmi deðil fotoðraf 
Pozitif,ayy caným iremim kadar güzel olmuþ tatlýsýn be zalimin kizi 
Pozitif,vizyon yok kardeþim vizyon yemekteyiz 
Negatif,sana noluyo lann apacinin avukati misin 
Negatif,evet normal karakter sahibi insanda video intihar sebebifdir lakin bunlar karatersiz orospu çocuklarý 
Pozitif,doða ranta kurban olmasýn 
Pozitif,umarým bir gün sizin çocuklarýz demokrasi aþký yanarlar 
Negatif,gerizeka kuzeniniz 
Pozitif,erkeðe uzayda kadýn var demiþler uzay aracý icat etmiþ uçmuþ 
Pozitif,tayyip dee seslenen bir çocuk efendim diyen dünyanýn tatlý dedesi 
Negatif,bi gavur karýsý aldým güzel çalýþýyo 
Pozitif,araba kullanma hký verdio sýrada italyalý astronot bayan samantha cristoforetti uzayda 
Negatif,harbi gerizeka tam embesil 
Negatif,la arkamdan laf yapýyor gerzek beyinli hiçbiri karþýma çýkacak kadar erkek deðil 
Pozitif,murat tatlýsýn ahahahahaha 
Pozitif,sýkýlýnca sevdiðim parçalarýn olduðu müzik listemi bile siliyorum seni mi unutamýycam 
Negatif,ulan dalyarak sen içerde deðilmiydin biçim adalet var arkadaþ ülkede piç hapis cezasý almadýmý 
Negatif,senden bi bok olmaz 
Negatif,gün ölüyor pislik 
Negatif,orospu çocuklari orospu çocuðusunuz hayvanlar 
Negatif,gerizeka tudor 
Pozitif,þevket çoruh özge turna evleniyor 
Negatif,hahahah orospu çocuðu götünden kan alacaklar þimdi 
Negatif,sanane lan adam çekmiþ koymuþ beðenmiyosan izleme týrrek 
Pozitif,türkiye nin kapsamlý öðrenci olimpiyatý olma özelliði taþýyan güngören bilim kültür sanat spor ligi 
Negatif,esin iyi misin lan þerefiz 
Negatif,ulan ilk yarý geridesin ikinci yarý deðiþiklik yapmýyorsun yav çýldýracam yav senden hoca moca olmaz ananý bacýný 
Negatif,önce yürümeyi öðrensin puþt 
Negatif,kerhane çocuðu cevap versene 
Pozitif,zaten alihan sürekli öyle davrandýðý zeynebe tutuldu 
Pozitif,bayadýr yolunda mertle mutluyum babamla tartýþmýyoruz okul güzel 
Negatif,bizim türk insaný kadar futbol fakiri beyinsiz baþka millet yokturtudor sýfýrdan takým yaptý liderhala balon fatih terim isteniyor yazýk 
Negatif,nil in babasý sinan serefiz dedi bak amca diyom beni deli etme aðzýný yüzünü daðýtýrým 
Negatif,hafif domal sokarým amýna götüne yaragýmý 
Negatif,azgýn kýz pelin 
Negatif,olduðun belli neyini anlamayacam andaval 
Pozitif,danla bilic tavuk diyen amca 
Negatif,herkesi kör lemi sersem sanýyor sýðýrlar 
Pozitif,yarýn makyaj yapayým farký görün djdnjshj 
Pozitif,endeavor dünyasýnda güzel geliþmeler devam ediyor girisimcilere tebrikler destekcilerimize teþekkürler 
Negatif,defol hain bücür 
Pozitif,hastasýný maðdur etmemek öðrencisini hayallerinden mahrum etmemek hocalarýný özel hastanelere býrakmamak ülkeyi bilimsiz 
Negatif,ebeni siktir bana akþam akþam 
Negatif,orospu çocuklarý yine geldikleri gitmiþler 
Pozitif,dileriz tez vakitte israil demokrasi gelsin 
Pozitif,çocuðunuzu seviyorsanýz ona bir kitap alýn seviyorsanýz iki kitap alýn 
Pozitif,yüksek lisansda baþarýlý olduðumu söyleyemem yüksek lisansý bitireceðime yürekten inanýyorum 
Pozitif,sýndýrgý kadýn kollarý kongremizde tekrar seçilerek baþkanlýk görevine devam eden nagihan eroðlu yönetimini tebrik ediyor 
Pozitif,an bannerýmdaki söz özel bence ait olduðu þarký the paris 
Negatif,senin saten sonra yapabileceðin tek kudurmak yelloz seni 
Pozitif,izmirkuþlaramezarolmasýn gediz deltasý sayfa haberlerinde yer almasin 
Negatif,lavuk kýzý öyle bi yiyo dönüp baktý ketçap mayonez isticek sandým aq 
Negatif,bacak kadar boyun var türlü türlü huyun var seni gidi dili fitne fücur birazda bücür 
Negatif,sikik bi is var beni buluyo mk 
Negatif,arka masadaki eleman siktir git burnunu sil fýrk fýrk çekip benim sinirimi bozma burnuna sokarým elimdeki fincaný 
Pozitif,demiyor musunuz saray otel özel hastaneler var cerrahpaþa deðilbizim binalarýmýz eski olabilir 
Negatif,yapiyim amina qoyum dizmi cokuyum karsinizda 
Pozitif,kesimin iyi tanýdýðý perinçek in kadar konuþmasý sistemin kimlerle ittifak tiðinin örneðidir 
Negatif,iþsiz olup tek yaptýðý dm den kýzlara yürüyen yavþak tipli andaval olmaktansa saðlýklý kültürlü zeki oturaklý olurum 
Pozitif,bir güzel kýz yüzünden çýldýracaðýmm 
Negatif,salak ezik sen tam bir aðlaksýn 
Negatif,trt bak beni bloklamýþ benim vergimle beni blokluyor orospu çocuklarý 
Negatif,habertürk te idris adýnda baþ parmaðýný sallayarak çýldýrmýþ bir dlama var 
Negatif,orospu catelyn 
Pozitif,bademli çikolata yerken fýndýk tadý almýþ bir gün 
Negatif,senin aq pezevenk profilim senin yüzünden genel ev oldu 
Pozitif,sinirlenince ben sinirli bir insaným bts izleyince sinirerimi aldýrmýþ hissediyorum çikolata gibiler 
Negatif,çektirdiðim fotoðraf erkek gibiymiþ dönek olup kýrma olacaðýma sözümün eri delikanlý kýz olurum iyi 
Negatif,lanet mi okusam sana 
Pozitif,üþenmeden saydým arkadaþlar bi takipcim gün içinde den fazla twit atmýþ götürü almýþ mübarek 
Negatif,kendi karga burnuna bakýp sonra millete bok at istersen aptal bücür 
Negatif,kýz fena yým azdým bak kötü sikerim 
Negatif,kýyamam sana amk kýzý 
Pozitif,yaa sn var harikasýn 
Negatif,amk admin kýlýklýsý 
Pozitif,konyanýn pek farklý olduðu söylenemez bence ilkbahar ikizler burcu 
Negatif,off taþ gögüsleri var ylu fahiþe 
Pozitif,türk duygularýný kabartacak türden dizi film belgesel vb izleyen herkes vasat deðildir 
Negatif,öküz sismissin evirilir çevirilir nede siskoluk heryerin sarkiklikla sýkýlýrsýn 
Pozitif,tavuk güveçte olmuyormuþ onu anlamadým alaka olmasýn 
Pozitif,oh harika ben karþýyaka dan alsancak geçiyorum mutluyum dönesim yok istanbul 
Pozitif,nasýlsýn kardeþim sesin çýkmýyor 
Pozitif,haftadýr ders dinleyemez ders çalýþamaz olduk nitelik yükseliyor sanýrým 
Negatif,sabahtan gördüm seni aþifte geldin bana 
Pozitif,ana babayaakrabayayetimlere yokslara yolcuyaelinizin altýndakilere iyilik edinnisa 
Pozitif,cerrahpasadurusu hastasýyla esnafýyla öðretim görevlisiyle öðrencisiyle personeliyle kýrmadan yýkmadan parçalamadan büyüyor 
Negatif,ulan pezevenk ücretini tl al zaman yerli arabaya bin yerli telefon kullan 
Pozitif,makyaj yapma isteðim fýrçayý elime alana kadar geçerli 
Pozitif,fen okuryazarlýðý yaþamdaki kimya 
Pozitif,chp genel baþkaný ankara dan istanbul baþlattýðý gün süren adalet yürüyüþü 
Negatif,takimi mac farkli fantaziler kurup rakibi bir izlemeyen bir sizofrene emanet ettiginizin zaman farkina varcaklar 
Negatif,sen bir malsýn gerzek 
Pozitif,hocam footbl manager çözüm bulalým 
Pozitif,istediðini bilen insanlara özeniyorum ben seçimlerimde düðün öncesi alýþveriþe çýkarýlmýþ huysuz muhafazakar gelin gibiyim sýfýr karar 
Pozitif,bayýlýyorsunuz sizi zerre ilgilendirmeyen konulara karýþmaya konuþmak kaos çýkarmak insanlara karýþmak 
Negatif,lan at kafali dün statta vardi çarþi yokmuydu 
Negatif,ilk önce yazýlacaðýný öðren sonra çaðýr fenerli deðilmi keko 
Negatif,un tasirken mi jeep mi senin ufak beyninle yapmaya calistigin algiyi sikim sisko domuz 
Pozitif,orta okul arkadaþýmý buldum mutluyum 
Pozitif,sema yemin ediyorum hallere düþtük oturduðumuz yerden sakatlanýyoruz 
Pozitif,insan yaþadýðý aný duyðuyu tecrübeye çevirirse baþarýlý olur 
Pozitif,içinde sen varsýn 
Negatif,iki hýrbo bilsin kolay þeyler sordular aq 
Pozitif,sinirlenince bile güzelsin be sultaným 
Pozitif,küçük hanýmlar küçük beyler sizler hepiniz geleceðin bir gülü yýldýzý ikbal ýþýðýsýnýz yurdu asýl aydýnlýða boðacak olanlarsýnýz 
Pozitif,sizi seven bir kadýný kendinizden nefret eder hale getirirsiniz 
Pozitif,beyaz tv bir kanaldan etik deðerler yüzünden kovulmak büyük baþarý istertebrikler 
Pozitif,danla keþke saçlarýný zamanki dalgalý yapýp zarif bir kalem elbise gitseydin 
Negatif,sosyetenin cilalý mermer taþlarýnda büyüdün amcýk 
Negatif,bebeyim þimdi sen bana gerizeka olduðunu söyle bende þaþýrmýþ yapýyým hadi 
Pozitif,yahu yaþýnda çocuk gözünde mavi kemik gözlük saçlar yanlarý böyle kýsa üstler uzun atmýþ arkaya ucunu sarýya boya 
Negatif,büyük sorun sensin bi siktir hit 
Pozitif,bizlerden gerek iþ hayatýnda gerek sosyal hayatta desteðini hiçbir zaman esirgemeyen bize ekip ruhunu ekip çalýþmasýný öðrtin 
Negatif,algý yapýyor dümbük takýlmayýn fazla gidecekler rahat olun 
Pozitif,doðum günün kutlu olsun güzel arkadaþým 
Negatif,korkudan nasýlda silmiþ tweeti ibne 
Negatif,önce önümüzden bi adam masturbasyon yaparak geçti sate dýþarda iþimiz var deðil mi 
Negatif,naber lan týrrek yaþtýðýný yaþamadýn 
Pozitif,ben admini sevdim tatlý 
Negatif,samsunlu aþifteyüreðin varsa gizli numaradan deðilkendi numarandan ararsinemniyeti boþuna meþgul etmeyelim 
Negatif,sg pislik mxkmdmxmxm 
Pozitif,bronshit yatalak oluþumdan kitap bitirdim hasta olmasam okumayý unutacaktým olsa sosyal medyanýn köpeðiyiz 
Pozitif,survivor hilmim yaa kadar tatlý olma 
Negatif,orospu çocuðu yemediniz ben napiyim 
Pozitif,survivor survivor gönüllülerin iyisi büyük anket 
Pozitif,hale þükür gerek 
Pozitif,hayýrlý geceler 
Negatif,uzun boy þýk giyim demiþsin isteklerinin kalitesi etrafa alýcý gözle baksamda aþifte kýzlar kapýyo 
Negatif,doðduðunda kulaðýna kahpe mi fýsýldadýlar 
Pozitif,transkripti görelim bakalým var mýymýþ öyle bir ders 
Negatif,tudordefol kahpe tudor istifa 
Pozitif,beni sersem ediyor bunca acý 
Pozitif,kendimi zorlayarak bir mekana geldim yine salak tiplere bakarak gülüyorum eðleniyorum müzik alakasý yok 
Pozitif,ben öðretmenlikten vuruldum diyor sonra ben öðretmenim cümleye baþlayýp acýtasyon yapýyor 
Negatif,allah lah nerenin adetiymiþ yav abazza anadolular hanýmlara yanlýyo 
Negatif,bana masturbasyon yaparak vido atarmisin 
Negatif,tam bir orospu çocuðusun onu anlamadiktan sonra dinliyorsunki geber amq 
Pozitif,güçlü karar mekanizmasýna sahip birer bilgisayar gibiyiz beynimiz düþüncelerimizden komutlar alýyor 
Pozitif,kariniza sevgilinize makyaj yaptirmiyorsunuz sonra full makyaj süslü püslü kadýnlarla aldatiyorsunuz vla ben bir 
Negatif,hepinizden nefret ediyorum paçavraucubeaþifteþerefsizin önde gidenleri fotoðrafý 
Pozitif,yarýþmacý ülkelerden oylama 
Negatif,fenasý aþifte olacaksýn 
Pozitif,görüþ sonrasý sizlerle önemli þeyler paylaþcam 
Pozitif,ayrýca unvaný üniversitelerin vermesi halinde üak ta baþarýlý bulunan adaylar doçent kadrosu buluncaya kadar unvanýn verdi 
Negatif,tudoristifa buraya kadarmýþ beyinsiz tudor artýk siktir olup gidebilirsin 
Negatif,hemen simdi tudor denen orsu evladini kovmayan yönetimin amq bize oturup kahpe kari sakiz çiðneyen teknik adam lazim degil 
Negatif,elif yokluðumu fýrsat bilen ibne geldiðim zaman aðzýna özel olarak sýçacaðým 
Pozitif,profesör poz verin dedi sonuç geleceðin öðretmenlerine merhaba deyin 
Negatif,yine bir andaval turnikeden geçmeyi beceremediði tramvayý kaçýrdýk saniyeyle falan gel ülkede yaþa 
Pozitif,kendine yakýþýr þekilde hakkýyla ses çýkaran bir duruþtur 
Negatif,yalan uydurmak iftira atmak kendi yaptýðý arzýzlýðý karþý taraf yapmýþ göstermek alçak zihniyetin yol haritasýdýr 
Negatif,erkeklerin büyük çoðunluðu instagramdan dm atýp tanýþýp takýlacaklarýný sanacak kadar ultra gerizeka mal zavallýlar 
Negatif,abi aleksi bi foto sahnesinde bi nezarette umumhane dedialeksi senin ben aðzýna sne kadýn düþkünü çýktýn 
Negatif,gerizeka insanlar acayip mutlu aq imreniyorum 
Pozitif,bi duruþu var 
Pozitif,þiþko yanaklarýmý yoketme hilesi neydi acil söylesiin 
Pozitif,fizikçi geldi iþte fenerliler yine iyiler falan dedi aziz yýldýrým geliyormuþ falan abi azizi yýldýrým 
Pozitif,seni bize veren allaha þükür sonra doðuran güzel nene dua ediyorum iyi varsýn 
Negatif,hanýmcý pezevenk 
Negatif,içine girmiþ karýnýn pislik 
Pozitif,müzik eþliðinde ulaþý bekliyorum 
Negatif,hshshshddhdh gerizeka 
Negatif,anani sikerim goskel sampiyon olamayacaksin oruspu cocugu simarik kahpe cocugu 
Pozitif,ben seni seviyorum 
Negatif,puþt deyince aklýna geldi sizce 
Pozitif,takipçilerimin erkek profil köy kýraathanesine döndü biraz sanat sepet falan filan paylaþýmý yapacaðým artýk 
Pozitif,ben kitap okurum deli derler saatmi okumanýn ati yoklakin akla giren saatler þarkýlarirler gece yazýlmýþ 
Negatif,kes lan konsomatris suratlý 
Pozitif,elli bin kadýn çocuk fenerbahçe taraftarýna güzel glerinden birini armaðan ediyor 
Negatif,kýzýþmýþ pýlýmýzý pýrtýmýzý toplayýp gidelim iyisi 
Negatif,bundan sana tasasý sanamý düþtü dalyaprak zirzop 
Negatif,hay allah senin çenesini kapatsýn artýk kadar angut bir adam olamaz 
Pozitif,size spine breaker þarký sözlerini býrakýyorum 
Pozitif,dördüncü gün kanka sevgili yaptým kendime 
Negatif,ulen dakika döndünüz eskiden katil dediðiniz þimdi kurtariciniz kadar dönek olmayýn 
Negatif,kalk siktir git okulunu oku amk 
Pozitif,sýcak makyaj dakika sonra akacak 
Negatif,günaydýn seksi karýmýn potansiyel sikicileri hayattan zevk almasýný bilen benim gavat ruhlular 
Pozitif,bir kere kuzenimin düðününde alçak bir kuaförün eline düþmüþtüm bana makyaj yaptý sonra düðün yerine gittik dedemin elin 
Negatif,konuþuyosun tabi gerzek eey almanya hadi utancýndan yerin dibine gir çýkma 
Negatif,allah belaný versin mertcan senin senin gibilerin hepiniz yokolun inþlah 
Pozitif,den tl ye inen bir pantalon aldým mutluyum 
Pozitif,yüzümde sýfýr makyaj uykulu gözlerherþeye raðmen paylaþýlmaya deðer bir fotoðraf 
Negatif,takýmý liderken kovulan ilk gerizeka olmak üzere 
Negatif,sizdeki kürt düþmanlýðý kadar yoktur embesil hamam böcekleri 
Pozitif,ahlaklý hayýrlýsý olsun herkes 
Pozitif,insanlýk istese neler baþarýr mirim felsefesiyle olmazlarý oldurtan film 
Negatif,bunlar yanyana gelen dediklerini yapamaz ayyaþ oturan yaþ kalkar 
Negatif,mustafa çocuklarýn baþýna geldiyse senin suçun cenabet bir adamsýn hala rivrivriv sana fikrini sorduk 
Negatif,herkes yapýyo ben yapýnca nolmu cümlesini söyleyen var gözümde direkt aptal orospu çocuðunun teki oluyo 
Pozitif,birsen bugün dün yarýnda survivorda olmasý gerektiðini gün bir ispat ediyor 
Pozitif,önce porto maçýna bilet geldi aþýrý mutluyum lan 
Negatif,gardaþim dün habertürk te proðramý izledim þerefiz aytuð þerefsizliðin kitabýný yadýproðramda 
Negatif,kendinizi bir bok zannediyorsunuz benim canýmý sýkýyor 
Pozitif,istanbul büyükþehir belediye meclisinde konsolide milyar tl büyükþehir bütçesini görüþerek kabul ettik 
Negatif,öyle mi kevaþe üzerinden yorum yapalým kýçýndaki donun lastiði bile dolarla alýnýyor büyükbaþ 
Negatif,yalaka çýktýnýz amk gelmeyin amk 
Negatif,cüce kýz tesellisi parayla yazdýrdýnýz 
Pozitif,gayri resmi mektup iyi tanýdýðýmýz insanlara 
Negatif,parayý aldin mi ilhan dan selimtl olarak alsaydin þikeci pezevenk seni 
Pozitif,amerikademokrasi vaadiyle vietnam iþgalti milyon ölümilyonlarca sakata raðmen savaþý vietnam halký kazandý 
Negatif,gerzek gerzek konuþuyorsunuz alçak ýrkçý faþist ayný zamanda kýþkýrtýcý 
Pozitif,ulan iyi olmuþ 
Pozitif,buna makyaj diyen maasli trlere anlatayim bir insan alnina darbe aldiginda once alni siser morarir 
Negatif,lanet olsun ben online oyun oynarken youtube instada video izlemeyin ping atýyo aq 
Pozitif,kendini vazgeçilmez sananlarýn hiçbiri þuan hayatýmda deðil gayet mutluyum 
Pozitif,gelin adayý var baban hayrýna düðün masraflarýna ortakçý oluyor sorsana 
Negatif,yalaka orospu ultraslan hala tudor un yanýndaysanýz sizinde allah belanýzý versin sucuk ekmekçi pezevenk 
Pozitif,senden öðrendiðim deðerler binlerce teþekkür ederim caným nem 
Negatif,tarihimizin pahalý kadrolarýndan birisini böyle vasat beyinsiz bir hocayla tüketemeyiz igor tudor kýsa süre 
Negatif,haltercilerinki kadar tipsiz bi vücut görmedim cüce ayný 
Negatif,heyecanlý bakmýyor bir bildiðin ibrik suratlý lavuk 
Negatif,merve þirret burcu yýlan olmalýyýz djsbnsndksb 
Pozitif,ilk bölümün ilk dakikalarýnda uyarmýþtým ben 
Pozitif,hüzün alabildiðine hüzün gece 
Pozitif,bazen sadece telefon almak paran vardýr 
Negatif,yil sonra mesaj atma sikerim belani 
Pozitif,hayatýmýn uzun dönemi artýk bitsin istiyorum gerçekten dayanacak gücüm kalmadý 
Pozitif,yarýn iki sýnavým var ben ders çalýþacak gücü bulamadým 
Negatif,sen domal böyle ben sikerim cnm 
Negatif,senin beynin angarya tirrek 
Pozitif,cerrahpaþaduruþu baþý dik onurlu saygýlý bir duruþtur ayrýlmak istemiyoruz 
Pozitif,ulan kadar lüks evde oturuyorsun birde tikisin gidip koluna casio takiyon herþeyiniz kurmaca be size 
Negatif,seninde amk ben kahpe evlatlari ingiliz piçleri soysuz pezevenk cennemde yansý it soyu 
Pozitif,böyle devam et adamsýn 
Pozitif,fernando reges bir kraldýr 
Negatif,aptal cumleler kurarak heryerden ben deðilim diyerek sandin sen beni nefret ettiðim þeyler zaten 
Pozitif,yemekteyiz içimde insan sevgisi olan puaným nedemek 
Negatif,ders iptallerini uyanýp evden çýktýktan sonra söylenince varya lah istemsizce bir sövüyorumulan þimdi mi söylenir andaval 
Pozitif,güzel þarký 
Negatif,hafifmeþrep erkeklerden hoþlanmýyorum erkek dediðinin fethi zor fatihi tek olmalý 
Negatif,veriler açýklandý avrupa veled zina kaynýyor 
Negatif,merve kafayý yedi hazmedemedi kaybetmeyi helal gönüllüler 
Negatif,kimmiþ göt merak tim 
Pozitif,merhaba bir tatlý görmek istemiyorum görüþürüz 
Negatif,bunlar hakikaten gerizeka ulan haklýysanýz adalet istiyorsanýz insan gider maçýnýzý izlersiniz 
Negatif,gerizeka doluyum ben dedi andaval okuma özürlüsü 
Pozitif,bugün ksilofon aðzýna kadar çikolata doldurulmuþ kfc kutusu aldým harika arkilerim var mutluyum 
Negatif,boþ boþ konuþma lan hýrbo dayanarak yalaka ilan ediyon 
Pozitif,ballý kaymaðým sen bir harikasýn kýrmýzý halý sersem oscar alýrsýn 
Pozitif,elbette rýzýk korkumuz yoktur ancak lah tandýr bir iþi ehline vermemek zulümdür hak kiminse liyakat sahibine 
